DEB [20260130-10:28:03.930] thr=1   paramiko.transport: starting thread (client mode): 0x90a167e0
DEB [20260130-10:28:03.931] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20260130-10:28:03.956] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-ROSSSH
INF [20260130-10:28:03.957] thr=1   paramiko.transport: Connected (version 2.0, client ROSSSH)
DEB [20260130-10:28:03.959] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20260130-10:28:03.959] thr=1   paramiko.transport: kex algos: diffie-hellman-group-exchange-sha256, diffie-hellman-group-exchange-sha1, diffie-hellman-group14-sha1, diffie-hellman-group1-sha1
DEB [20260130-10:28:03.959] thr=1   paramiko.transport: server key: ssh-dss, rsa-sha2-256, ssh-rsa
DEB [20260130-10:28:03.959] thr=1   paramiko.transport: client encrypt: aes128-ctr, aes192-ctr, aes256-ctr, aes128-cbc, aes192-cbc, aes256-cbc, blowfish-cbc, 3des-cbc
DEB [20260130-10:28:03.959] thr=1   paramiko.transport: server encrypt: aes128-ctr, aes192-ctr, aes256-ctr, aes128-cbc, aes192-cbc, aes256-cbc, blowfish-cbc, 3des-cbc
DEB [20260130-10:28:03.959] thr=1   paramiko.transport: client mac: hmac-sha1, hmac-md5
DEB [20260130-10:28:03.959] thr=1   paramiko.transport: server mac: hmac-sha1, hmac-md5
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: client compress: none
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: server compress: none
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: client lang: <none>
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: server lang: <none>
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: kex follows: False
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: Kex: diffie-hellman-group-exchange-sha256
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: HostKey: rsa-sha2-256
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20260130-10:28:03.960] thr=1   paramiko.transport: MAC: hmac-sha1
DEB [20260130-10:28:03.961] thr=1   paramiko.transport: Compression: none
DEB [20260130-10:28:03.961] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20260130-10:28:03.962] thr=1   paramiko.transport: Got server p (1024 bits)
DEB [20260130-10:28:04.226] thr=1   paramiko.transport: kex engine KexGexSHA256 specified hash_algo <built-in function openssl_sha256>
